	X.home.guest.GoMRI.LBN1S1	X.home.guest.GoMRI.LBN10S10	X.home.guest.GoMRI.LBN2S2	X.home.guest.GoMRI.LBN3S3	X.home.guest.GoMRI.LBN4S4	X.home.guest.GoMRI.LBN5S5	X.home.guest.GoMRI.LBN6S6	X.home.guest.GoMRI.LBN7S7	X.home.guest.GoMRI.LBN8S8	X.home.guest.GoMRI.LBN9S9	X.home.guest.GoMRI.LBO1S11	X.home.guest.GoMRI.LBO10S20	X.home.guest.GoMRI.LBO2S12	X.home.guest.GoMRI.LBO3S13	X.home.guest.GoMRI.LBO4S14	X.home.guest.GoMRI.LBO5S15	X.home.guest.GoMRI.LBO6S16	X.home.guest.GoMRI.LBO7S17	X.home.guest.GoMRI.LBO8S18	X.home.guest.GoMRI.LBO9S19	X.home.guest.GoMRI.LFN1S61	X.home.guest.GoMRI.LFN10S70	X.home.guest.GoMRI.LFN2S62	X.home.guest.GoMRI.LFN3S63	X.home.guest.GoMRI.LFN4S64	X.home.guest.GoMRI.LFN5S65	X.home.guest.GoMRI.LFN6S66	X.home.guest.GoMRI.LFN7S67	X.home.guest.GoMRI.LFN8S68	X.home.guest.GoMRI.LFN9S69	X.home.guest.GoMRI.LFO1S71	X.home.guest.GoMRI.LFO10S80	X.home.guest.GoMRI.LFO2S72	X.home.guest.GoMRI.LFO3S73	X.home.guest.GoMRI.LFO4S74	X.home.guest.GoMRI.LFO5S75	X.home.guest.GoMRI.LFO6S76	X.home.guest.GoMRI.LFO7S77	X.home.guest.GoMRI.LFO8S78	X.home.guest.GoMRI.LFO9S79	X.home.guest.GoMRI.RBN1S21	X.home.guest.GoMRI.RBN10S30	X.home.guest.GoMRI.RBN3S23	X.home.guest.GoMRI.RBN4S24	X.home.guest.GoMRI.RBN5S25	X.home.guest.GoMRI.RBN6S26	X.home.guest.GoMRI.RBN7S27	X.home.guest.GoMRI.RBN8S28	X.home.guest.GoMRI.RBN9S29	X.home.guest.GoMRI.RBO1S31	X.home.guest.GoMRI.RBO10S40	X.home.guest.GoMRI.RBO2S32	X.home.guest.GoMRI.RBO3S33	X.home.guest.GoMRI.RBO4S34	X.home.guest.GoMRI.RBO5S35	X.home.guest.GoMRI.RBO6S36	X.home.guest.GoMRI.RBO7S37	X.home.guest.GoMRI.RBO8S38	X.home.guest.GoMRI.RBO9S39	X.home.guest.GoMRI.RFN1S7	X.home.guest.GoMRI.RFN1S81	X.home.guest.GoMRI.RFN10S90	X.home.guest.GoMRI.RFN2S82	X.home.guest.GoMRI.RFN3S83	X.home.guest.GoMRI.RFN3S9	X.home.guest.GoMRI.RFN4S10	X.home.guest.GoMRI.RFN4S84	X.home.guest.GoMRI.RFN5S11	X.home.guest.GoMRI.RFN5S85	X.home.guest.GoMRI.RFN6S12	X.home.guest.GoMRI.RFN6S86	X.home.guest.GoMRI.RFN7S87	X.home.guest.GoMRI.RFN8S88	X.home.guest.GoMRI.RFN9S89	X.home.guest.GoMRI.RFO1S1	X.home.guest.GoMRI.RFO1S91	X.home.guest.GoMRI.RFO10S4	X.home.guest.GoMRI.RFO2S2	X.home.guest.GoMRI.RFO2S92	X.home.guest.GoMRI.RFO3S3	X.home.guest.GoMRI.RFO3S93	X.home.guest.GoMRI.RFO4S4	X.home.guest.GoMRI.RFO4S94	X.home.guest.GoMRI.RFO5S5	X.home.guest.GoMRI.RFO5S95	X.home.guest.GoMRI.RFO6S6	X.home.guest.GoMRI.RFO6S96	X.home.guest.GoMRI.RFO7S1	X.home.guest.GoMRI.RFO8S2	X.home.guest.GoMRI.RFO9S3	X.home.guest.GoMRI.SBN1S41	X.home.guest.GoMRI.SBN10S50	X.home.guest.GoMRI.SBN2S42	X.home.guest.GoMRI.SBN3S43	X.home.guest.GoMRI.SBN4S44	X.home.guest.GoMRI.SBN5S45	X.home.guest.GoMRI.SBN6S46	X.home.guest.GoMRI.SBN7S47	X.home.guest.GoMRI.SBN8S48	X.home.guest.GoMRI.SBN9S49	X.home.guest.GoMRI.SBO1S51	X.home.guest.GoMRI.SBO10S60	X.home.guest.GoMRI.SBO2S52	X.home.guest.GoMRI.SBO3S53	X.home.guest.GoMRI.SBO4S54	X.home.guest.GoMRI.SBO5S55	X.home.guest.GoMRI.SBO6S56	X.home.guest.GoMRI.SBO7S57	X.home.guest.GoMRI.SBO8S58	X.home.guest.GoMRI.SBO9S59	X.home.guest.GoMRI.SFN1S5	X.home.guest.GoMRI.SFN10S14	X.home.guest.GoMRI.SFN2S6	X.home.guest.GoMRI.SFN3S7	X.home.guest.GoMRI.SFN4S8	X.home.guest.GoMRI.SFN5S9	X.home.guest.GoMRI.SFN6S10	X.home.guest.GoMRI.SFN7S11	X.home.guest.GoMRI.SFN8S12	X.home.guest.GoMRI.SFN9S13	X.home.guest.GoMRI.SFO1S15	X.home.guest.GoMRI.SFO10S24	X.home.guest.GoMRI.SFO2S16	X.home.guest.GoMRI.SFO3S17	X.home.guest.GoMRI.SFO4S18	X.home.guest.GoMRI.SFO5S19	X.home.guest.GoMRI.SFO6S20	X.home.guest.GoMRI.SFO7S21	X.home.guest.GoMRI.SFO8S22	X.home.guest.GoMRI.SFO9S23
Bacteria|Chlamydiae|Chlamydiae|Chlamydiales|Simkaniaceae|Ga0074140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.28E-04	0	0	6.63E-04	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.001049318	3.02E-04	1.29E-03	0	0	0.00E+00	0	0	0.000434302	0	6.23E-04	0	2.56E-04	6.79E-04	0.00E+00	4.15E-04	1.83E-04	0	0.00E+00	0	0.00E+00	0.00E+00	6.81E-04	3.85E-05	0.00E+00	2.82E-05	0	0.00E+00	0.00E+00	0.000122669	1.52E-04	0	0	0	2.18E-04	9.90E-05	3.20E-04	3.35E-04	0.00E+00	0.00E+00	0.002742774	0.001874341	3.93E-03	1.75E-03	0	0.001761861	0.002417009	1.76E-03	0	2.81E-03	4.42E-03	7.28E-03	0	1.12E-02	7.55E-04	0.00E+00	0.00E+00	0.00E+00	0.00E+00	8.16E-04	5.57E-03	4.52E-04	1.82E-03	7.46E-03	3.90E-03	2.97E-03	1.63E-03	1.79E-03	2.03E-03	1.79E-03	1.13E-03	5.23E-03	4.43E-03	0.001962839	1.48E-03	3.04E-03	2.42E-03	1.91E-03	6.27E-04	8.05E-04
Bacteria|Proteobacteria|Gammaproteobacteria|pItb-vmat-80|NA|NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00E+00	0	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0	0.00E+00	0.00E+00	0	0	0.00E+00	0	0	0	0	0.00E+00	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0	0.00E+00	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0	0.00E+00	0.00E+00	0	0.00E+00	0	0	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.003519031	0.003358194	2.98E-04	1.36E-04	0	0.000916887	0.002502567	2.11E-03	0	1.72E-03	3.03E-04	0.00E+00	0	9.31E-04	9.58E-05	1.49E-04	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	4.90E-04	0.00E+00	2.00E-02	0.001949232	7.17E-05	9.53E-05	6.89E-04	0.00E+00	0.00E+00	0.00E+00
Bacteria|Bacteroidetes|Bacteroidia|Flavobacteriales|Flavobacteriaceae|Aquimarina	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00E+00	0.000415432	0.000532411	0.00E+00	0.00E+00	6.38E-04	0.00E+00	0.00E+00	0	0.00E+00	0.00E+00	0	0	0.00E+00	0	0.000465522	0	0	0.00E+00	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0	0.00E+00	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0	0.00E+00	0.00E+00	0	0.00E+00	0	0	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.000310503	0.000429537	0.00E+00	1.44E-04	0	0	0	3.10E-04	0	2.64E-04	2.08E-04	1.81E-03	0	3.39E-04	2.77E-04	0.00E+00	0.00E+00	0.00E+00	4.52E-04	3.89E-04	3.12E-03	7.43E-03	5.20E-03	2.13E-03	5.19E-03	6.03E-03	5.38E-03	4.95E-03	4.04E-03	4.48E-03	3.84E-03	2.15E-03	4.34E-04	0.000731387	3.98E-03	2.84E-03	2.58E-03	4.18E-03	5.65E-03	4.67E-03
Bacteria|Lentisphaerae|Oligosphaeria|Oligosphaerales|NA|NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00E+00	0	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.000393494	2.55E-04	1.71E-03	0.0029714	0.001113255	3.68E-03	0.004852902	0.000349142	0.00019741	0.002403635	2.54E-03	0.000371475	2.89E-03	1.64E-03	1.61E-03	9.17E-04	5.50E-03	0	2.24E-03	0.000951475	2.52E-03	1.45E-03	8.82E-04	6.92E-05	6.04E-04	6.27E-04	0.007991126	1.01E-03	8.12E-04	0.000667866	5.61E-04	0.001718567	0.001842186	0	0.00E+00	4.09E-03	4.61E-03	2.63E-03	1.74E-04	3.69E-03	0.001242011	0.001093366	1.52E-03	7.21E-03	0	0.002121425	0.001518652	1.94E-03	0	2.33E-03	1.42E-03	8.66E-04	0.002336319	1.01E-03	3.78E-03	3.30E-03	7.64E-03	5.21E-03	1.59E-03	5.46E-03	4.26E-03	9.81E-03	9.48E-03	6.73E-03	5.82E-03	5.35E-03	8.45E-03	5.39E-03	7.27E-03	1.57E-02	8.85E-03	6.35E-03	2.05E-03	0.002874521	1.12E-02	5.85E-03	6.75E-03	9.39E-03	1.42E-02	1.14E-02
Bacteria|Acidobacteria|Acidobacteriia|Solibacterales|Solibacteraceae_(Subgroup_3)|TSBb06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00E+00	0	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0	0.00E+00	0.00E+00	0	0	0.00E+00	0	0	0	0	0.00E+00	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0	0.00E+00	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0	0.00E+00	0.00E+00	0	0.00E+00	0	0	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0	0.000546683	4.97E-04	2.92E-04	0	0	0	9.43E-04	0	9.37E-04	1.14E-03	1.42E-03	0.000556266	1.02E-02	1.70E-04	0.00E+00	0.00E+00	0.00E+00	0.00E+00	2.25E-04	5.49E-03	7.16E-04	6.35E-04	6.91E-03	1.25E-03	3.62E-03	1.04E-03	3.46E-04	2.47E-03	5.34E-04	1.62E-04	9.32E-03	4.53E-03	0.000306162	4.53E-04	1.54E-03	2.96E-03	3.87E-04	0.00E+00	4.70E-05
Bacteria|Acidobacteria|Acidobacteriia|Solibacterales|Solibacteraceae_(Subgroup_3)|GOUTB8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00E+00	0	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.005749388	2.28E-02	5.35E-03	0.000247617	0	0.00E+00	0.004408497	0	0.005685408	0.00190532	4.20E-03	0	7.33E-04	1.72E-02	0.00E+00	4.08E-03	0.00E+00	0	1.06E-03	0	0.00E+00	0.00E+00	3.39E-03	0.00E+00	6.60E-04	8.02E-04	0	2.30E-03	1.87E-03	0	0.00E+00	0	0	0.000356761	1.82E-04	0.00E+00	6.50E-05	0.00E+00	0.00E+00	0.00E+00	0	0	0.00E+00	0.00E+00	0	0	0	2.05E-05	0	0.00E+00	3.77E-05	0.00E+00	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
Bacteria|Dependentiae|Babeliae|Babeliales|NA|NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000460936	0	0	0	0	0.000356797	0	0.00E+00	0.000110782	0.000186344	0.00E+00	0.00E+00	7.23E-05	0.00E+00	0.00E+00	0	0.00E+00	0.00E+00	0	0.000278314	5.84E-04	0	0	0	0	0.00E+00	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0	0.00E+00	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0	0.00E+00	0.00E+00	0	0.00E+00	0	0	0	5.46E-05	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.005278547	0.008004998	2.37E-03	2.24E-03	0	0.003290006	0.003080082	3.36E-03	0.008618921	2.16E-03	4.18E-03	2.33E-03	0.001668799	7.73E-03	6.32E-03	8.59E-03	6.77E-03	5.49E-03	4.79E-03	4.37E-03	1.03E-03	1.13E-03	1.63E-03	1.06E-03	1.03E-03	1.23E-03	1.13E-03	7.46E-04	4.47E-04	1.06E-03	1.76E-03	7.48E-04	8.97E-03	0.004412135	1.25E-03	1.86E-03	1.60E-03	1.02E-03	1.47E-03	1.12E-03
Bacteria|Proteobacteria|Deltaproteobacteria|SBYG-4553|NA|NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000195948	0.00E+00	0	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0	0.00E+00	0.00E+00	0.000247617	0	0.00E+00	0	0	0	0	0.00E+00	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0	0.00E+00	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0	0.00E+00	0.00E+00	0	0.00E+00	0	0	0	0.00E+00	0.00E+00	0.00E+00	8.55E-05	0.00E+00	4.42E-05	0.013066991	0.009801242	9.36E-03	6.52E-03	0	0.009007065	0.012234771	1.36E-02	0.011697107	1.58E-02	7.90E-03	3.73E-03	0.002447572	6.50E-03	3.97E-03	1.77E-03	9.02E-04	1.54E-03	5.43E-04	2.88E-03	2.99E-03	5.00E-03	3.66E-03	4.34E-03	4.24E-03	2.93E-03	4.50E-03	2.24E-03	4.74E-03	2.80E-03	5.10E-03	2.47E-03	2.35E-03	0.004687681	3.05E-03	3.65E-03	2.74E-03	2.11E-03	1.99E-03	2.72E-03
Archaea|Euryarchaeota|Thermoplasmata|JdFR-43|NA|NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00E+00	0	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0	0.00E+00	0.00E+00	0	0	0.00E+00	0	0	0	0	0.00E+00	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0	0.00E+00	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0	0.00E+00	0.00E+00	0	0.00E+00	0	0	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0	0.001366707	0.00E+00	0.00E+00	0	0	0	7.51E-04	0	9.63E-04	5.08E-05	0.00E+00	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.12E-04	1.97E-04	0.00E+00	1.35E-03	5.08E-03	1.09E-03	6.38E-04	0.00E+00	2.37E-03	3.65E-03	2.46E-03	4.76E-03	0.00E+00	2.15E-04	0.005487104	1.26E-03	7.21E-04	2.18E-03	2.89E-03	2.07E-04	3.10E-04
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Methyloligellaceae|NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00E+00	0	0	0.00E+00	3.09E-04	0.00E+00	0.00E+00	0.00E+00	0.000131165	2.46E-04	0.00E+00	0.000247617	0.000760724	4.51E-02	0.015163097	0	0	0	0.00E+00	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0	0.00E+00	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0	0.00E+00	0.00E+00	0	0.00E+00	0	0	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0	0	0.00E+00	0.00E+00	0	0	0	0.00E+00	0	0.00E+00	0.00E+00	0.00E+00	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Pleomorphomonadaceae|Hartmannibacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000203884	0.002170505	5.48E-04	0.001910987	0.001490749	2.93E-03	0.00E+00	2.65E-04	1.92E-04	1.30E-04	0	0.00E+00	0.00E+00	0	0	0.00E+00	0	0	0	0	0.00E+00	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0	0.00E+00	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0	0.00E+00	0.00E+00	0	0.00E+00	0	0	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.001449013	0.001249561	8.95E-04	1.26E-03	0	0	0	1.80E-04	0	3.92E-04	5.81E-05	1.03E-03	0.007175836	2.54E-04	8.35E-04	1.69E-04	2.26E-04	3.88E-04	8.50E-04	1.82E-03	3.13E-03	9.66E-03	7.75E-03	2.78E-03	4.19E-03	2.80E-03	6.23E-03	5.70E-03	4.03E-03	5.37E-03	2.57E-03	2.71E-03	9.54E-04	0.001425354	3.65E-03	2.60E-03	2.59E-03	3.30E-03	4.86E-03	4.10E-03
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Hyphomicrobiaceae|Filomicrobium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000738575	2.10E-04	0.001080123	0.002981499	5.36E-03	1.49E-04	1.81E-04	2.34E-04	1.69E-04	0	0.00E+00	0.00E+00	0	0.000241205	0.00E+00	0	0	0	0	0.00E+00	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0	0.00E+00	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0	0.00E+00	0.00E+00	0	0.00E+00	0	0	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.014826507	0.015970948	1.18E-02	1.07E-02	0	0.018481563	0.015550137	1.58E-02	0.020110815	1.23E-02	9.41E-03	2.00E-03	0.006953329	1.17E-02	1.02E-02	1.53E-02	1.49E-02	1.47E-02	1.36E-02	8.40E-03	3.68E-03	5.49E-03	5.62E-03	4.32E-03	5.08E-03	5.93E-03	6.80E-03	3.68E-03	5.85E-03	5.56E-03	5.98E-03	4.96E-03	3.89E-03	0.004262456	6.32E-03	3.18E-03	3.77E-03	3.48E-03	4.55E-03	4.09E-03
Bacteria|Proteobacteria|Gammaproteobacteria|Betaproteobacteriales|Gallionellaceae|Sideroxydans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00E+00	0	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0	5.01E-04	6.75E-04	0.000680946	0	0.00E+00	0.000319972	0.019959267	0	0	0.00E+00	0.020577475	0.00E+00	3.99E-04	0.00E+00	0.00E+00	1.72E-03	0.001515964	1.21E-04	0.017760863	0.00E+00	1.01E-04	0.00E+00	1.68E-03	3.09E-04	1.77E-03	0	0.00E+00	0.00E+00	0.00166285	1.98E-03	0.003299649	0.011743936	0	0.00E+00	0.00E+00	0.00E+00	2.49E-03	0.00E+00	3.65E-02	0.003544907	0	0.00E+00	1.69E-04	0	0.000719127	0	0.00E+00	0	0.00E+00	7.08E-04	5.33E-04	0	1.21E-03	1.46E-04	3.18E-04	3.12E-04	1.78E-04	0.00E+00	6.22E-04	2.83E-04	1.36E-04	6.01E-05	1.01E-04	3.93E-04	0.00E+00	0.00E+00	4.82E-04	2.51E-04	9.77E-05	9.19E-05	7.31E-04	1.72E-04	0.000163286	1.74E-04	1.34E-04	1.67E-04	0.00E+00	2.29E-04	2.66E-04
Bacteria|Proteobacteria|Gammaproteobacteria|Oceanospirillales|Pseudohongiellaceae|Pseudohongiella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00E+00	0	0	0.00E+00	0.00E+00	2.41E-04	0.00E+00	0.00E+00	0.00415355	4.97E-03	8.50E-03	0.0044571	0	0.00E+00	0.002470892	0	0.002684776	0.000908691	7.15E-03	0.001519671	9.20E-03	3.75E-03	9.77E-04	2.99E-03	1.80E-03	0.005177601	1.11E-03	0.001691511	8.20E-04	7.96E-04	3.12E-03	3.85E-03	9.84E-04	1.20E-03	0.000928148	0.00E+00	0.00E+00	0.002875913	2.19E-03	0	0.000276328	0	0.00E+00	1.73E-04	3.62E-04	3.51E-03	1.07E-03	2.74E-04	0	0	3.81E-04	2.88E-04	0	0.000377542	0.000342231	2.64E-04	0	3.41E-04	2.86E-04	2.16E-04	0	1.91E-04	2.07E-04	0.00E+00	0.00E+00	4.72E-05	0.00E+00	2.32E-04	1.59E-04	9.38E-05	1.42E-04	0.00E+00	8.05E-05	8.26E-05	1.61E-04	7.72E-05	3.14E-05	6.61E-05	0.00E+00	1.07E-04	9.68E-05	2.38126E-05	6.74E-05	7.21E-05	5.35E-05	7.18E-05	5.90E-05	8.77E-05
Bacteria|PAUC34f|NA|NA|NA|NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00E+00	0	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0	0.00E+00	0.00E+00	0	0	0.00E+00	0	0	0	0	0.00E+00	0.000270164	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0	0.00E+00	0.000317158	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00040748	0.00E+00	0.00E+00	0	0.00E+00	0	0	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0	0	0.00E+00	1.57E-04	0	0	0.000705852	4.33E-05	0	0.00E+00	1.45E-05	9.99E-05	0	2.01E-04	4.52E-05	1.59E-04	0.00E+00	0.00E+00	0.00E+00	0.00E+00	7.15E-04	3.67E-04	9.48E-04	2.24E-04	4.22E-04	3.35E-04	5.35E-04	2.96E-03	5.18E-04	2.37E-03	4.11E-04	3.06E-03	1.14E-03	0.001177023	1.86E-03	2.69E-03	6.85E-03	2.39E-03	7.94E-03	9.44E-03
Bacteria|Calditrichaeota|Calditrichia|Calditrichales|Calditrichaceae|SM23-31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.65E-05	0	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.000437216	6.52E-04	6.98E-04	0	0.004323141	6.13E-02	0.00415963	0	0	0	3.97E-05	0	0.00E+00	3.99E-04	0.00E+00	0.00E+00	0.00E+00	0	0.00E+00	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0	0.00E+00	0.00E+00	0.003557409	3.62E-03	0	0	0	0.00E+00	1.98E-04	1.16E-04	0.00E+00	0.00E+00	0.00E+00	0.004191787	0.002733414	2.55E-03	2.42E-03	0	0.00118656	0.001646988	1.62E-03	0	2.96E-03	9.49E-04	0.00E+00	0.005673917	1.15E-03	9.04E-04	2.28E-04	2.43E-04	1.52E-04	7.24E-04	1.06E-03	4.86E-04	6.40E-04	1.33E-03	1.38E-03	7.87E-04	3.12E-04	1.92E-04	1.99E-03	5.41E-04	6.87E-04	1.54E-03	3.21E-04	2.47E-04	0.002296215	1.12E-03	3.23E-03	2.46E-03	2.35E-03	7.75E-04	1.19E-03
Bacteria|Latescibacteria|Latescibacteria|Latescibacterales|Latescibacteraceae|Candidatus_Latescibacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.31E-05	0	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0	0.00E+00	0.00E+00	0	0	0.00E+00	0	0	0	0	0.00E+00	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0	0.00E+00	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0	0.00E+00	0.00E+00	0	0.00E+00	0	0	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00222527	0.003943926	1.92E-03	1.72E-03	0	0.001366341	0.003293977	2.58E-03	0.005335522	2.42E-03	1.12E-03	0.00E+00	0.001557546	1.06E-03	1.04E-03	1.35E-03	1.28E-03	1.30E-03	7.78E-04	1.38E-03	2.29E-04	1.88E-04	3.35E-04	2.78E-04	2.23E-04	4.73E-04	2.22E-04	1.80E-04	2.35E-04	3.74E-04	2.30E-03	1.10E-04	1.66E-02	0.002486716	4.74E-04	6.18E-04	1.77E-03	3.31E-04	3.54E-04	8.02E-04
